사용자명,별점 평가,별점,리뷰 평가,리뷰 내용
아놀드강,긍정적,9,부정,인간 이 초래 한 기후 위기 로 지금 도 전세계 곳곳 에서 발생 하는 자연재해 로 인한 대자연 의 경고 를 거의 40년 전에 줄거리 탄탄한 만화 원작 에 이어 애니 로 만들었다는게 명실 상부 당시 애니 왕국 위상 에 한번 더 놀란다 지구 의 자연 을 완전히 소유 하는 생명체 는 세상 어디 에도 존재 하지 않는다 모든 생물체 는 살 아 있는 동안 자연 에서 모든 것 을 잠시 빌려 쓰다가 떠나가는 나그네 인것을
유레카,긍정적,10,부정,1
디스코플레이,긍정적,9,부정,이 게 84년 애니 라고
재이미 JAEME,긍정적,10,부정,"이 시대 에 이런 명작 은 다시 태어날 수 없다의 찬사 가 나올 정도 로 명작 입니다 진짜 명작 이다 대단하다고 느낍니다 

 인간 과 자연 의 공존 은 쉽게 깨어지고 자연 을 다시 숨쉬게 하려면 많은 시간 이 필요합니다 지브리 의 영화 는 다시 한번 자연환경 을 생각 해보게 하네요 꼭 보시길 바랍니다"
lee,긍정적,10,부정,이 전 에도 좋아했지만 1980년 대 초 에 코로나 사태 를 예견 한 듯 한 자연 파괴 를 경고 한 애니메이션 은 인정 안 할수가 없다 식물 이 자신 을 보호 하기 위해 독기 를 내뿜는 장면 과 나우시카 가 마스크 를 쓰는 장면 생각남
Lee_s_H,긍정적,10,부정,절대 부정 할 수 없는 희 대의 명작
kitty,긍정적,10,부정,감동 입니다
휴면 사용자,긍정적,10,부정,이 게 84년 작이라고 걸작 입니다
joyfulgai,긍정적,10,부정,
SmartBear,긍정적,10,부정,코로나 사태 를 보면서 다시 생각나는 영화
PliNy,긍정적,10,부정,"이런 경이 로운 작품 에 1 점 주는 애 들 은 참 

 이 당시 에 이런 연출 과 시나리오 상상력 이라니 

 무거운 주제 에도 바람 계곡 의 소소한 유쾌함이 너무 잘 어우러져 

 마냥 무겁고 우울하지 않지요 

 지금 이 애니 를 본다면 받아들이는 메시지 가 

 훨씬 크게 와 닿을 것"
백지혜,긍정적,10,부정,내 지브리 최애
바람을 담는 아이,부정적,1,부정,"남 들 다 재밌다고 해서 꾹 참고 1시간 정도 봤는데 왜 이렇게 재미 가 없는건 지그 냥 미래 소년 코난 에서 액션 빠진 영화 라고 보면 될듯 
 밋밋하고 재미없고 심오한 철학 이 있는지는 모르겠다만 정말 재미없어서 결국 포기 
 개 거품 이 있다면 바로 나우시카 가 아닐까 싶음"
크롱크롱크로롱,긍정적,10,부정,라퓨타 와 이 영화 는 정말 최고다
바바파파,긍정적,10,부정,다시 봐도 새롭네
임상연,긍정적,10,부정,내 인생 최고 의 애니 입니다
진환,부정적,0,부정,
백서,긍정적,8,부정,
김태훈,긍정적,10,부정,
학랑,긍정적,7,부정,
Keepsmilling,긍정적,10,부정,무거운 주제 를 황량 하고 애잔한 감성 으로 잿빛 에 잿빛 을 더했는데 빛 이 난다
pooh,부정적,5,부정,
박상호,긍정적,9,부정,
탈퇴한 사용자,긍정적,9,부정,"오래전 작품 인데 이정 도 완성 도면 대단하네 이 애니 를 아바타 같이 영화 화 할 수 있다면 
 얼마나 좋을까 영화로 만들어지면 대박 일 듯 적 인 요소 가 넘쳐 난다"
더든,긍정적,7,부정,
휴면 사용자,긍정적,10,부정,인류 가 하루 빨리 정신 차려 서 다 같이 으샤으샤 해서 지구 를 살리고 인구 가 너무 많다면 다른 행성 으로 적극 적 으로 이주 해서 불모 지 행성 을 지구 처럼 만든다면 얼마나 좋을까요 눈물 이 주르륵 흐르네요
yunafather,긍정적,9,부정,
재치수,긍정적,7,부정,
달빛의그림자,긍정적,9,부정,인간 의 문명 발전 의 끝 은 어디 인가 자연 은 공존 의 대상 인가 정복 의 대상 인가 살아남은 소수 의 인간 들 은 전쟁 을 통해 자신 들 의 제국 을 건설 하려 한다 그 속 에서 자연 은 파괴 되었고 물이 오염 되고 숲 은 점점 사라져 간다 자연 은 스스로 치유 한다고 했던가 이대로 가면 다시는 회복할 수 없을지도 모른다 이 젠 멈춰야 한다
잠순이,긍정적,10,부정,"미야자키 하야오의 작품 들 은 몇십 번 을 봤는지 모를 정도 다 
 나우시카 의 나나라 나나 음악 까지 정말 짠하이 가슴 이 뛴다"
